StartTime,EndTime,Duration(s),StartTime(datenum),EndTime(datenum),LargeConc(cc),SmallConc(cc),MeanDiameter(um),Average LWC(g/m3)
16-Jun-2022 21:33:06,16-Jun-2022 21:33:20,15,738688.897996871,738688.898158908,53.8199544760908,75.7062191051203,21.9564509828659,0.642848903114837
16-Jun-2022 21:33:40,16-Jun-2022 21:33:45,6,738688.89839039,738688.89844826,65.7439490474133,55.0310022612149,23.1133944291052,0.947147553509123
16-Jun-2022 21:40:18,16-Jun-2022 21:40:26,9,738688.902996871,738688.903089464,52.3603364949453,38.1274680196115,22.272366044216,0.697606624275039
16-Jun-2022 21:41:55,16-Jun-2022 21:42:07,13,738688.904119557,738688.904258445,90.8007110423326,49.3793199564617,19.3429843968307,0.907292697207605
16-Jun-2022 21:42:10,16-Jun-2022 21:42:13,4,738688.904293168,738688.90432789,50.6717563763714,65.6406883024178,20.6380087904903,0.512424642717261
16-Jun-2022 21:42:32,16-Jun-2022 21:42:36,5,738688.904547797,738688.904594094,74.31726485161,34.9437387961907,22.5446707002554,0.979069073027121
16-Jun-2022 21:48:15,16-Jun-2022 21:48:17,3,738688.908517795,738688.908540853,85.3278582195866,72.1333051924685,15.0553940834141,0.527660648344948
16-Jun-2022 21:49:55,16-Jun-2022 21:50:03,9,738688.909675112,738688.909767705,111.757497549503,53.0618951304528,16.3464692874158,0.74936057441425
16-Jun-2022 21:50:21,16-Jun-2022 21:50:33,13,738688.909976038,738688.910114927,128.337531329807,54.493438209029,16.6573314621405,0.900577512245309
16-Jun-2022 21:57:47,16-Jun-2022 21:58:16,30,738688.915138075,738688.915473723,59.0031885307237,125.697653303601,14.5115313493512,0.397967327519498
16-Jun-2022 22:52:45,16-Jun-2022 22:52:59,15,738688.953309371,738688.953471408,50.6363301449196,271.665149779032,12.2471035387908,0.382642053951274
16-Jun-2022 22:53:01,16-Jun-2022 22:53:24,4,738688.953494557,738688.953750362,201.009899876498,1947.64812227127,12.4613088756319,2.30283381202499
16-Jun-2022 22:53:29,16-Jun-2022 22:54:03,35,738688.953818631,738688.954212149,103.260979063074,233.657157307268,13.5979785894601,0.722426925472459
16-Jun-2022 22:56:16,16-Jun-2022 22:56:24,9,738688.955751501,738688.955844094,58.8857306590665,256.809366708186,13.0460834008724,0.501928604534711
16-Jun-2022 22:56:27,16-Jun-2022 22:56:32,6,738688.955878816,738688.955936686,71.7688538437361,216.948277622321,13.6047743560204,0.545413777248354
16-Jun-2022 22:56:37,16-Jun-2022 22:57:12,30,738688.955994557,738688.956392958,108.733394297053,167.283746965814,14.4814350440962,0.753365848080527
16-Jun-2022 23:02:35,16-Jun-2022 23:03:02,28,738688.960138075,738688.960450575,86.4884394890355,93.3309852796174,16.5213937999652,0.614079078562196
16-Jun-2022 23:04:52,16-Jun-2022 23:05:05,14,738688.961723723,738688.961874186,61.183668908467,46.4627580631627,16.8341877539619,0.462841243888808
16-Jun-2022 23:05:22,16-Jun-2022 23:05:54,33,738688.962070945,738688.962441316,70.3439731371316,79.3481376374881,16.8222814498199,0.542507083978807
16-Jun-2022 23:33:10,16-Jun-2022 23:33:41,32,738688.981376501,738688.981735297,102.901075387598,90.7653826052348,15.558219116766,0.681167923181121
16-Jun-2022 23:33:57,16-Jun-2022 23:34:08,12,738688.981920482,738688.982047797,54.1171886627065,60.5466178108382,19.2089872681737,0.520308746072044
16-Jun-2022 23:34:16,16-Jun-2022 23:34:23,8,738688.98214039,738688.982221408,69.053053105304,53.7056590163197,17.9194505403088,0.591160105491747
16-Jun-2022 23:34:43,16-Jun-2022 23:34:50,8,738688.98245289,738688.982533908,68.1040796555681,98.2398283757773,15.3896947402116,0.54929675388464
16-Jun-2022 23:42:14,16-Jun-2022 23:42:32,19,738688.987672797,738688.987881131,89.3695262370522,69.8124215319779,14.7985508516666,0.502667369786698
16-Jun-2022 23:43:20,16-Jun-2022 23:43:23,4,738688.988436686,738688.988471408,59.0016465189401,194.389085993631,13.4297656196226,0.439931530291401
16-Jun-2022 23:44:10,16-Jun-2022 23:44:20,11,738688.98901539,738688.989131131,58.8355240302519,179.900371577289,13.5949311240523,0.453799074368593
17-Jun-2022 00:21:46,17-Jun-2022 00:21:49,4,738689.015126501,738689.015161223,81.9129995924943,109.841238170202,14.7405206656564,0.527115850410542
17-Jun-2022 00:21:51,17-Jun-2022 00:21:59,9,738689.015184371,738689.015276874,77.7504944420796,112.524341378909,14.5948877861145,0.512895957753164
17-Jun-2022 00:22:12,17-Jun-2022 00:22:23,12,738689.015427427,738689.015554742,74.9580197363823,134.951937828696,14.770630344955,0.516396083778258
17-Jun-2022 00:28:42,17-Jun-2022 00:28:56,15,738689.019941316,738689.020103353,86.021938204332,74.8467550174428,18.5470560001711,0.793301813484829
